SubLocation,Country,latlon,place,sub_latlon,sub_place,FlighNumber
 Resende Airport,Brazil,"(-14.235004, -51.92528)",Brazil,"(-22.4747972, -44.4766764)","Aeroporto de Resende (QRZ) - Estrada do Aeroporto, s/n - Elite, Resende - RJ, 27522-160, Brazil",4123
Bogotá-Eldorado Airport,Colombia,"(4.570868, -74.297333)",Colombia,"(4.6983396, -74.1419602)","El Dorado Luis Carlos Galan Sarmiento Int'l Airport (BOG), Calle 26 #103-9, Fontibon, Bogotá, Colombia",4124
Dzhalal-Abad,Kyrgyzstan,"(41.20438, 74.766098)",Kyrgyzstan,"(40.9331541, 72.9814877)","Jalal-Abad, Kyrgyzstan",4125
Almaty AirportALA),Kazakhstan,"(48.019573, 66.923684)",Kazakhstan,"(43.3499265, 77.02528939999999)","Almaty International Airport, Mailin St 2, Almaty 050039, Kazakhstan",4126
Bismarck Municipal Airport,United States of America,"(37.09024, -95.712891)",United States,"(46.7742272, -100.7500281)","Bismarck Airport, 2301 University Dr, Bismarck, ND 58504, USA",4127
"Marietta, GA",United States of America,"(37.09024, -95.712891)",United States,"(33.95260200000001, -84.5499327)","Marietta, GA, USA",4128
"Newton, WI",United States of America,"(37.09024, -95.712891)",United States,"(43.9937427, -87.7263327)","Newton, WI, USA",4129
"Detroit-Metropolitan Wayne County Airport, MIDTW)",United States of America,"(37.09024, -95.712891)",United States,"(42.2161722, -83.3553842)","Detroit Metropolitan Wayne County Airport (DTW), Detroit, MI 48242, USA",4130
 Mashhad,Iran,"(32.427908, 53.688046)",Iran,"(36.2604623, 59.6167549)","Mashhad, Razavi Khorasan Province, Iran",4131
"Houston-Sugar Land Municipal Airport, TXSGR)",United States of America,"(37.09024, -95.712891)",United States,"(29.6272669, -95.65288969999999)","Sugar Land Regional Airport, 12888 Hwy 6, Sugar Land, TX 77498, USA",4132
Lukapa AirportLBZ),Angola,"(-11.202692, 17.873887)",Angola,"(-8.383333, 20.666668)","Lukapa Airport (LBZ), Lukapa, Angola",4133
Shannon AirportSNN),Ireland,"(53.1423672, -7.692053599999999)",Ireland,"(52.6996573, -8.914691099999999)","Shannon Airport (SNN), Lismacleane, Co. Clare, Ireland",4134
Abu Dhabi International AirportAUH),United Arab Emirates,"(23.424076, 53.847818)",United Arab Emirates,"(24.441938, 54.6500736)",Abu Dhabi International Airport (AUH) - Abu Dhabi - United Arab Emirates,4135
Abu Dhabi International AirportAUH),United Arab Emirates,"(23.424076, 53.847818)",United Arab Emirates,"(24.441938, 54.6500736)",Abu Dhabi International Airport (AUH) - Abu Dhabi - United Arab Emirates,4136
near Guapiles,Costa Rica,"(9.748916999999999, -83.753428)",Costa Rica,"(10.2133499, -83.7868871)","Limón Province, Guapiles, Costa Rica",4137
near La Felisa,Colombia,"(4.570868, -74.297333)",Colombia,"(5.35, -75.59993000000001)","LA FELISA, Filadelfia, Caldas, Colombia",4138
"near Hampton, GA",United States of America,"(37.09024, -95.712891)",United States,"(33.3870578, -84.2829784)","Hampton, GA 30228, USA",4139
Vavunativu  Base,Sri Lanka,"(7.873053999999999, 80.77179699999999)",Sri Lanka,"(7.873053999999999, 80.77179699999999)",Sri Lanka,4140
"Barrie-OrilliaLake Simcoe Regional) Airport, ON",Canada,"(56.130366, -106.346771)",Canada,"(44.486892, -79.541444)","Lake Simcoe Regional Airport, 224 7 Line N, Oro Station, ON L0L 2E0, Canada",4141
Ardebil,Iran,"(32.427908, 53.688046)",Iran,"(38.2537363, 48.2999901)","Ardabil, Ardabil Province, Iran",4142
La Ceiba-Goloson International AirportLCE),Honduras,"(15.199999, -86.241905)",Honduras,"(15.7451593, -86.85142859999999)","Aeropuerto Internacional Goloson, La Ceiba, Honduras",4143
Vilhena Airport,Brazil,"(-14.235004, -51.92528)",Brazil,"(-12.6897785, -60.10048759999999)","Vilhena Airport - Aeroporto Brigadeiro Camarão, 6650, Vilhena - RO, 78995-000, Brazil",4144
Salt Lake City International Airport,United States of America,"(37.09024, -95.712891)",United States,"(40.7899404, -111.9790706)","Salt Lake City International Airport (SLC), 776 N Terminal Dr, Salt Lake City, UT 84122, USA",4145
Charallave-Óscar Machado Zuloaga Airport,Venezuela,"(6.42375, -66.58973)",Venezuela,"(10.288347, -66.8171314)","Charallave Airport, Charallave, Miranda, Venezuela",4146
"Greenville Downtown Airport, SCGMU)",United States of America,"(37.09024, -95.712891)",United States,"(34.8504093, -82.3513534)","Greenville Downtown Airport (GMU), 100 Tower Dr, Greenville, SC 29607, USA",4147
 Kaduna Airport,Nigeria,"(9.081999, 8.675277)",Nigeria,"(10.6951358, 7.324483199999999)","Kaduna Airport (KAD), Nigeria",4148
Tarakan-Juwata AirportTRK),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(3.3266343, 117.5680814)","Juwata International Airport Tarakan (TRK), Karang Anyar Pantai, Tarakan Bar., Kota Tarakan, Kalimantan Utara 76111, Indonesia",4149
Colombo-Ratmalana AirportRML),Sri Lanka,"(7.873053999999999, 80.77179699999999)",Sri Lanka,"(6.8215993, 79.89140940000001)","Ratmalana Airport, Ratmalana,Dehiwala-Mount Lavinia,Colombo,Western Province, Sri Lanka",4150
Semipalatinsk AirportPLX),Kazakhstan,"(48.019573, 66.923684)",Kazakhstan,"(50.3533321, 80.23336499999999)","Semey Airport (PLX), Semey 070000, Kazakhstan",4151
 City-La Aurora Airport,Guatemala,"(15.783471, -90.23075899999999)",Guatemala,"(14.5837486, -90.5278015)","La Aurora Airport (GUA), 9 Av 14-75, Zona 13, Guatemala 01013, Guatemala",4152
Carajás Airport,Brazil,"(-14.235004, -51.92528)",Brazil,"(-6.114453999999999, -50.0010055)","Aeroporto de Carajás (CKS) - Parauapebas, Floresta Nacional Carajás - Rodovia Raymundo Mascarenhas, km 15, s/n - Serra dos Carajás, Parauapebas - PA, 68515-000, Brazil",4153
Guangzhou AirportCAN),China,"(35.86166, 104.195397)",China,"(23.3959079, 113.3079699)","Guangzhou Baiyun International Airport (CAN), Baiyun, Guangzhou Shi, Guangdong Sheng, China",4154
Nürnberg,Germany,"(51.165691, 10.451526)",Germany,"(49.4254092, 11.0796553)","Nuremberg, Germany",4155
Salta-Martín Miguel de Güemes International Airport,Argentina,"(-38.416097, -63.61667199999999)",Argentina,"(-24.8442303, -65.4784117)","Martín Miguel de Güemes International Airport (SLA), RN51 KM 5, 4400 Salta, Argentina",4156
London-Stansted AirportSTN),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.8860181, 0.2388661)","London Stansted Airport (STN), Bassingbourn Rd, Stansted CM24 1QW, UK",4157
near  City,Mexico,"(23.634501, -102.552784)",Mexico,"(52.0515032, 113.4711906)","Chita, Zabaykalsky Krai, Russia",4158
near Piura AirportPIU),Peru,"(-9.189967, -75.015152)",Peru,"(-5.2069601, -80.6155579)","Capitán FAP Guillermo Concha Iberico International Airport (PIU), Corpac 247, Piura, Peru",4159
near Piura AirportPIU),Peru,"(-9.189967, -75.015152)",Peru,"(-5.2069601, -80.6155579)","Capitán FAP Guillermo Concha Iberico International Airport (PIU), Corpac 247, Piura, Peru",4160
"Orlando Executive Airport, FLORL)",United States of America,"(37.09024, -95.712891)",United States,"(28.553981, -81.3241675)","4917 E Colonial Dr, Orlando, FL 32805, USA",4161
Bacolod AirportBCD),Philippines,"(12.879721, 121.774017)",Philippines,"(10.7776219, 123.0187484)","Bacolod - Silay International Airport (BCD) (BCD), Airport Road, Silay City, 6116 Negros Occidental, Philippines",4162
"Portland International Airport, ORPDX)",United States of America,"(37.09024, -95.712891)",United States,"(45.5890675, -122.5934364)","Portland International Airport (PDX), 7000 NE Airport Way, Portland, OR 97218, USA",4163
Kabul Airport,Afghanistan,"(33.93911, 67.709953)",Afghanistan,"(34.565833, 69.21249999999999)","Hamid Karzai International Airport, 1,Great Massoud Avenue,Khwaja Rawash,Kabul, Afghanistan",4164
 Hsinchu Airport,Taiwan,"(23.69781, 120.960515)",Taiwan,"(24.8238676, 120.9474747)","Căn cứ không quân Tân Trúc, North District, Hsinchu City, Taiwan 300",4165
Mogadishu,Somalia,"(5.152149, 46.199616)",Somalia,"(2.0469343, 45.3181623)","Mogadishu, Somalia",4166
Cistérniga,Spain,"(40.46366700000001, -3.74922)",Spain,"(41.6095133, -4.682500999999999)","Cistérniga, Valladolid, Spain",4167
Hwange AirportWKI),Zimbabwe,"(-19.015438, 29.154857)",Zimbabwe,"(-18.363028, 26.519972)","WKI Hwange Town Airport (WKI), Hwange, Zimbabwe",4168
Mombasa-Moi International AirportMBA),Kenya,"(-0.023559, 37.906193)",Kenya,"(-4.0355, 39.597301)","Moi International Airport, Mombasa, Kenya",4169
near La Ceiba-Goloson International AirportLCE),Honduras,"(15.199999, -86.241905)",Honduras,"(15.7451593, -86.85142859999999)","Aeropuerto Internacional Goloson, La Ceiba, Honduras",4170
Clarksville,United States of America,"(37.09024, -95.712891)",United States,"(36.5297706, -87.3594528)","Clarksville, TN, USA",4171
Manistee-Blacker Airport,United States of America,"(37.09024, -95.712891)",United States,"(44.2754452, -86.2562133)","Manistee County Blacker Airport, 2323 Airport Rd, Manistee, MI 49660, USA",4172
Antigua-V.C. Bird International AirportANU),Antigua and Barbuda,"(17.060816, -61.796428)",Antigua and Barbuda,"(17.1417911, -61.790564)","V C Bird International Airport (ANU), Pavilion Dr, Osbourn, Antigua and Barbuda",4173
Uruapan AirportUPN),Mexico,"(23.634501, -102.552784)",Mexico,"(19.3972311, -102.039299)","Uruapan International Airport, Av. Latinoamericana s/n, Fracc. San José, Obrero, 60160 Uruapan, Mich., Mexico",4174
near Quibaxe,Angola,"(-11.202692, 17.873887)",Angola,"(-8.499691, 14.5859219)","Quibaxe, Angola",4175
Mount Balatukan,Philippines,"(12.879721, 121.774017)",Philippines,"(8.77, 124.98)","Mount Balatukan, Gingoog, Misamis Oriental, Philippines",4176
Tambacounda Airport,Senegal,"(14.497401, -14.452362)",Senegal,"(13.7366796, -13.656668)","Tambacounda Airport (TUD), Senegal",4177
Yola Airport,Nigeria,"(9.081999, 8.675277)",Nigeria,"(9.2673534, 12.4259247)","Yola International Airport (YOL), A345, Jimeta, Nigeria",4178
 Shushenskoye,Russia,"(61.52401, 105.318756)",Russia,"(53.33719900000001, 91.93346969999999)","Shushenskoye, Krasnoyarsk Krai, Russia",4179
Sparrevohn Airport,United States of America,"(37.09024, -95.712891)",United States,"(61.10305149999999, -155.5760156)","Sparrevohn LRRS Airport (SVW), Aniak, AK 99557, USA",4180
Sept-Îles Airport,Canada,"(56.130366, -106.346771)",Canada,"(50.2233329, -66.265556)","Sept-Îles Airport (YZV), 1000 E Boulevard Laure, Sept-Îles, QC G4R 4K2, Canada",4181
Anadyr AirportDYR),Russia,"(61.52401, 105.318756)",Russia,"(64.7134717, 177.7381361)","Anadyr AIRPORT, Ugolnye Kopi, Chukotskiy, Russia, 689501",4182
Chokurdah ,Russia,"(61.52401, 105.318756)",Russia,"(70.622169, 147.916168)","Chokurdakh, Sakha Republic, Russia, 678800",4183
Nuevo Laredo International AirportNLD),Mexico,"(23.634501, -102.552784)",Mexico,"(27.4492762, -99.568963)","Quetzalcoatl International Airport, Carretera Piedra Negra Km. 5, 88020 Nuevo Laredo, Tamps., Mexico",4184
Nelson AirportNSN),New Zealand,"(-40.900557, 174.885971)",New Zealand,"(-41.29969759999999, 173.2247964)","Nelson Airport, Nelson 7011, New Zealand",4185
Fukuoka AirportFUK),Japan,"(36.204824, 138.252924)",Japan,"(33.5903145, 130.4467091)","Fukuoka Airport (FUK), ７７８-１ Shimousui, Hakata Ward, Fukuoka, Fukuoka Prefecture 812-0003, Japan",4186
Jaffna-Palaly Air BaseJAF),Sri Lanka,"(7.873053999999999, 80.77179699999999)",Sri Lanka,"(9.7921253, 80.070076)","Jaffna Airport, Sri Lanka",4187
near Uberaba Airport,Brazil,"(-14.235004, -51.92528)",Brazil,"(-19.7660464, -47.9623702)","Uberaba Airport - Mario de Almeida Franco (UBA) - Av. Nenê Sabino, 2706 - Santos Dumont, Uberaba - MG, 38050-501, Brazil",4188
"Muscatine Airport, IAMUT)",United States of America,"(37.09024, -95.712891)",United States,"(41.36267, -91.146346)","Muscatine Airport, 5701 U.S Hwy 61, Muscatine, IA 52761, USA",4189
Kananga AirportKGA)Congo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(-5.9012268, 22.4753387)","Kananga Airport, N1, Kananga, Democratic Republic of the Congo",4190
Djerba-Zarzis AirportDJE),Tunisia,"(33.886917, 9.537499)",Tunisia,"(33.8705912, 10.775073)","Djerba-Zarzis International Airport (DJE), Djerba, Mellita, Tunisia",4191
"near Monroe, MI",United States of America,"(37.09024, -95.712891)",United States,"(41.9164343, -83.3977101)","Monroe, MI, USA",4192
Berlin-Tegel AirportTXL),Germany,"(51.165691, 10.451526)",Germany,"(52.5588327, 13.2884374)","Berlin Tegel Airport (TXL), 13405 Berlin, Germany",4193
Apia-Fagali'i Airport,Samoa,"(-13.759029, -172.104629)",Samoa,"(-13.8481817, -171.7419307)","Fagali'i Airport (FGI), Apia, Samoa",4194
"Bullhead City, AZ",United States of America,"(37.09024, -95.712891)",United States,"(35.1359386, -114.5285981)","Bullhead City, AZ, USA",4195
Nakina Airport,Canada,"(56.130366, -106.346771)",Canada,"(50.1830527, -86.69728219999999)","Nakina Airport (YQN), 450 Cordingley Lake Rd, Nakina, ON P0T 2H0, Canada",4196
Oakdale Airport,United States of America,"(37.09024, -95.712891)",United States,"(37.75639, -120.800278)","Oakdale Airport (ODC), 8191 Laughlin Rd, Oakdale, CA 95361, USA",4197
Liverpool International AirportLPL),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(53.3375129, -2.8544274)","Liverpool John Lennon Airport (LPL), Speke Hall Ave, Speke, Liverpool L24 1YD, UK",4198
Birmingham Airport,United States of America,"(37.09024, -95.712891)",United States,"(33.5624269, -86.754126)","Birmingham-Shuttlesworth International Airport (BHM), 5900 Messer Airport Hwy, Birmingham, AL 35212, USA",4199
Diyarbakir AirportDIY),Turkey,"(38.963745, 35.243322)",Turkey,"(37.9003524, 40.1841329)","Ağaçgeçit Mahallesi, Diyarbakır Yeni Hava Limanı, KAMIŞLI BULVARI, 21090 Bağlar/Diyarbakır, Turkey",4200
Kaduna AirportKAD),Nigeria,"(9.081999, 8.675277)",Nigeria,"(10.6931501, 7.3127135)","Kaduna Airport (KAD), Nigeria",4201
Kaduna AirportKAD),Nigeria,"(9.081999, 8.675277)",Nigeria,"(10.6931501, 7.3127135)","Kaduna Airport (KAD), Nigeria",4202
Barcelona Airport,Spain,"(40.46366700000001, -3.74922)",Spain,"(41.297445, 2.0832941)","Barcelona–El Prat Airport (BCN), 08820 El Prat de Llobregat, Barcelona, Spain",4203
Mogadishu International AirportMGQ),Somalia,"(5.152149, 46.199616)",Somalia,"(2.0178354, 45.3037924)","Aden Adde International Airport (MGQ), Mogadishu, Somalia",4204
Nasir Airport,South Sudan,"(6.876991899999999, 31.3069788)",South Sudan,"(4.188782700000001, 73.52858049999999)","Velana International Airport (MLE), Airport Main Rd, Malé 22000, Maldives",4205
Nasir Airport,South Sudan,"(6.876991899999999, 31.3069788)",South Sudan,"(4.188782700000001, 73.52858049999999)","Velana International Airport (MLE), Airport Main Rd, Malé 22000, Maldives",4206
"Beaumont-Jefferson County Airport, TXBPT)",United States of America,"(37.09024, -95.712891)",United States,"(29.955847, -94.0220743)","Jack Brooks Regional Airport, 6000 Air Line Dr, Beaumont, TX 77705, USA",4207
"Navegantes Airport, SCNVT)",Brazil,"(-14.235004, -51.92528)",Brazil,"(-26.8805344, -48.6490867)","Aeroporto Internacional de Navegantes - Ministro Victor Konder - R. Osmar Gaya, 1297 - Meia Praia, Navegantes - SC, 88372-900, Brazil",4208
Stornoway AirportSYY),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(58.2163706, -6.3286557)","Stornoway Airport (SYY), Stornoway HS2 0BN, UK",4209
 Chambéry Airport,France,"(46.227638, 2.213749)",France,"(45.6380109, 5.8837145)","Chambéry Airport, Route de l'Aéroport, 73420 Viviers-du-Lac, France",4210
 Chambéry Airport,France,"(46.227638, 2.213749)",France,"(45.6380109, 5.8837145)","Chambéry Airport, Route de l'Aéroport, 73420 Viviers-du-Lac, France",4211
George Town-Exuma International AirportGGT),Bahamas,"(25.03428, -77.39627999999999)",The Bahamas,"(23.5618757, -75.8759072)","Exuma International Airport (GGT), Moss Town, The Bahamas",4212
George Town-Exuma International AirportGGT),Bahamas,"(25.03428, -77.39627999999999)",The Bahamas,"(23.5618757, -75.8759072)","Exuma International Airport (GGT), Moss Town, The Bahamas",4213
George Town-Exuma International AirportGGT),Bahamas,"(25.03428, -77.39627999999999)",The Bahamas,"(23.5618757, -75.8759072)","Exuma International Airport (GGT), Moss Town, The Bahamas",4214
"Miami International Airport, FLMIA)",United States of America,"(37.09024, -95.712891)",United States,"(25.795865, -80.2870457)","Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA",4215
"Opa-Locka Airport, FLOPF)",United States of America,"(37.09024, -95.712891)",United States,"(25.9074498, -80.2774304)","Miami-Opa Locka Executive Airport, 14201 NW 42nd Ave, Opa-locka, FL 33054, USA",4216
"Miami International Airport, FLMIA)",United States of America,"(37.09024, -95.712891)",United States,"(25.795865, -80.2870457)","Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA",4217
"Miami International Airport, FLMIA)",United States of America,"(37.09024, -95.712891)",United States,"(25.795865, -80.2870457)","Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA",4218
Edenton Municipal Airport,United States of America,"(37.09024, -95.712891)",United States,"(36.0267769, -76.5663055)","Northeastern Regional Airport, 113 Airport Dr, Edenton, NC 27932, USA",4219
Cagayan de Oro-Lumbia Airport,Philippines,"(12.879721, 121.774017)",Philippines,"(8.4077251, 124.6114014)","Cagayan de Oro, Misamis Oriental, Philippines",4220
Port Heiden Airport,United States of America,"(37.09024, -95.712891)",United States,"(56.958524, -158.6387985)","Port Heiden Airport, Port Heiden, AK 99549, USA",4221
Port Heiden Airport,United States of America,"(37.09024, -95.712891)",United States,"(56.958524, -158.6387985)","Port Heiden Airport, Port Heiden, AK 99549, USA",4222
Thandwe AirportSNW),Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(18.461197, 94.30017)","Thandwe Airport (SNW), Thandwe, Myanmar (Burma)",4223
København-Kastrup AirportCPH),Denmark,"(56.26392, 9.501785)",Denmark,"(55.6180236, 12.6507628)","Copenhagen Airport (CPH), Lufthavnsboulevarden 6, 2770 Kastrup, Denmark",4224
"Hartford-Bradley International Airport, CTBDL)",United States of America,"(37.09024, -95.712891)",United States,"(41.9388735, -72.68603139999999)","Bradley International Airport (BDL), Schoephoester Rd, Windsor Locks, CT 06096, USA",4225
"Saranac Lake-Adirondack Airport, NYSLK)",United States of America,"(37.09024, -95.712891)",United States,"(44.3804755, -74.20342529999999)","Adirondack Regional Airport-SLK, 96 Airport Rd, Saranac Lake, NY 12983, USA",4226
Alghero-Fertilia AirportAHO),Italy,"(41.87194, 12.56738)",Italy,"(40.6332779, 8.2896846)","Alghero-Fertilia Airport, Regione Nuraghe Biancu, 07041 Alghero SS, Italy",4227
Lloydminster Airport,Canada,"(56.130366, -106.346771)",Canada,"(53.310467, -110.06789)","Lloydminster Airport (YLL), 8301 75 Street, Lloydminster, AB T9V 0W2, Canada",4228
Houston-George Bush Intercontinental Airport,United States of America,"(37.09024, -95.712891)",United States,"(29.9902199, -95.3367827)","George Bush Intercontinental Airport (IAH), 2800 N Terminal Rd, Houston, TX 77032, USA",4229
Khojak Pass,Pakistan,"(30.375321, 69.34511599999999)",Pakistan,"(30.8466667, 66.5691667)","Khojak Pass, Pakistan",4230
