SubLocation,Country,latlon,place,sub_latlon,sub_place
"2,3 km1.4 mls) SW of Knoxville-Mc Ghee Tyson Airport, TNTYS)",United States of America,"(37.09024, -95.712891)",United States,,
near Etsouali,Congo,"(-4.038333, 21.758664)",Democratic Republic of the Congo,,
near KIRN VOR,Germany,"(51.165691, 10.451526)",Germany,,
"Wilmington-Airborne Airpark, OHILN)",United States of America,"(37.09024, -95.712891)",United States,,
"Selawik Airport, AKWLK)",United States of America,"(37.09024, -95.712891)",United States,,
Estancia El Trompillo,Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,,
Maasai Mara National Reserve,Kenya,"(-0.023559, 37.906193)",Kenya,,
Carolita Ranch,Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,,
Friedrichshafen AirportFDH),Germany,"(51.165691, 10.451526)",Germany,,
Eket airstrip,Nigeria,"(9.081999, 8.675277)",Nigeria,,
Teniente R. Marsh Air BaseTNM),Antarctica,"(-82.86275189999999, 135.0)",Antarctica,,
"Anchorage International Airport, AKANC)",United States of America,"(37.09024, -95.712891)",United States,,
Mbeya AirportMBI),Tanzania,"(-6.369028, 34.888822)",Tanzania,,
Arequipa-Rodriguez Ballon AirportAQP),Peru,"(-9.189967, -75.015152)",Peru,,
Luanda-4 de Fevereiro AirportLAD),Angola,"(-11.202692, 17.873887)",Angola,"(-8.847951, 13.234862)","4 de Fevereiro International Airport (LAD), Luanda, Angola"
Bangui AirportBGF),Central African Republic,"(6.611110999999999, 20.939444)",Central African Republic,,
Mount Kalora,Indonesia,"(-0.789275, 113.921327)",Indonesia,,
"1,5 km0.9 mls) S of Washington-Dulles International Airport, DCIAD)",United States of America,"(37.09024, -95.712891)",United States,,
5 km3.1 mls) from  Uruapan AirportUPN),Mexico,"(23.634501, -102.552784)",Mexico,,
Taipei,Taiwan,"(23.69781, 120.960515)",Taiwan,,
29 km18.1 mls) SE of Xian-Xianyang International AirportXIY),China,"(35.86166, 104.195397)",China,,
"Waukegan Memorial Airport, ILUGN)",United States of America,"(37.09024, -95.712891)",United States,,
Cúcuta-Camilo Daza AirportCUC),Colombia,"(4.570868, -74.297333)",Colombia,,
near Villavicencio-La Vanguardia AirportVVC),Colombia,"(4.570868, -74.297333)",Colombia,,
unknown airport,Vietnam,"(14.058324, 108.277199)",Vietnam,,
13 km8.1 mls) from  Kano International AirportKAN),Nigeria,"(9.081999, 8.675277)",Nigeria,,
"5 km3.1 mls) NW of Toledo-Express Airport, OHTOL)",United States of America,"(37.09024, -95.712891)",United States,,
Tunis-Carthage AirportTUN),Tunisia,"(33.886917, 9.537499)",Tunisia,,
at an unknown location,France,"(46.227638, 2.213749)",France,,
near Diouloulou,Senegal,"(14.497401, -14.452362)",Senegal,,
near Guryev AirportGUW),Kazakhstan,"(48.019573, 66.923684)",Kazakhstan,,
"Dixon, WY",United States of America,"(37.09024, -95.712891)",United States,,
"1,7 km1.1 mls) S of Evansville-Dress Regional Airport, INEVV)",United States of America,"(37.09024, -95.712891)",United States,,
 AirportJIB),Djibouti,"(11.825138, 42.590275)",Djibouti,,
Aguadilla-Borinquen AirportBQN),Puerto Rico,"(18.220833, -66.590149)",Puerto Rico,,
"Caetité, BA",Brazil,"(-14.235004, -51.92528)",Brazil,,
Aguadilla-Borinquen AirportBQN),Puerto Rico,"(18.220833, -66.590149)",Puerto Rico,,
near Turbo,Colombia,"(4.570868, -74.297333)",Colombia,,
near Sinj,Croatia,"(45.1, 15.2)",Croatia,,
"65 km40.6 mls) from  Dutch Harbor, AK",United States of America,"(37.09024, -95.712891)",United States,,
Batumi-Chorokh AirportBUS),Georgia,"(32.1656221, -82.9000751)","Georgia, USA",,
near Elefsis Air Base,Greece,"(39.074208, 21.824312)",Greece,,
"0,3 km0.2 mls) off  -Cane Field AirportDCF)",Dominica,"(15.414999, -61.37097600000001)",Dominica,,
Bangkok International AirportBKK),Thailand,"(15.870032, 100.992541)",Thailand,,
"Poste Montagnais Airport, QC",Canada,"(56.130366, -106.346771)",Canada,,
"19,5 km12.2 mls) SW of Strasbourg-Entzheim AirportSXB)",France,"(46.227638, 2.213749)",France,,
"Elmira Regional Airport, NYELM)",United States of America,"(37.09024, -95.712891)",United States,,
Cheju AirportCJU),South Korea,"(35.907757, 127.766922)",South Korea,,
"Corumbá Internacional Airport, MSCMG)",Brazil,"(-14.235004, -51.92528)",Brazil,,
Oktyabrsky,Russia,"(61.52401, 105.318756)",Russia,,
near Loma Linda,Colombia,"(4.570868, -74.297333)",Colombia,,
near Bukoba AirportBKZ),Tanzania,"(-6.369028, 34.888822)",Tanzania,,
Mitú AirportMVP),Colombia,"(4.570868, -74.297333)",Colombia,,
Aden International AirportADE),Yemen,"(15.552727, 48.516388)",Yemen,"(12.8253779, 45.03708959999999)","Aden International Airport, Aden, Yemen"
Palana,Russia,"(61.52401, 105.318756)",Russia,,
Bloemspruit AFBBFN),South Africa,"(-30.559482, 22.937506)",South Africa,,
"Miami International Airport, FLMIA)",United States of America,"(37.09024, -95.712891)",United States,"(25.795865, -80.2870457)","Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA"
near Bragança,Portugal,"(39.39987199999999, -8.224454)",Portugal,,
Arkhangelsk AirportARH),Russia,"(61.52401, 105.318756)",Russia,,
"São Gabriel Airport, AMSJL)",Brazil,"(-14.235004, -51.92528)",Brazil,,
Kyzyl AirportKYZ),Russia,"(61.52401, 105.318756)",Russia,,
Up Park Camp,Jamaica,"(18.109581, -77.297508)",Jamaica,,
"35,5 km22.2 mls) N of Tbilisi",Georgia,"(32.1656221, -82.9000751)","Georgia, USA",,
Nabire AirportNBX),Indonesia,"(-0.789275, 113.921327)",Indonesia,,
Green Island AirportGNI),Taiwan,"(23.69781, 120.960515)",Taiwan,,
"Greenville-Majors Field, TXGVT)",United States of America,"(37.09024, -95.712891)",United States,,
Gulgubip AirportGLP),Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,,
Köln/Bonn AirportCGN),Germany,"(51.165691, 10.451526)",Germany,,
5 km3.1 mls) from  El Yopal,Colombia,"(4.570868, -74.297333)",Colombia,,
Kiriwina Island,Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,,
Goma AirportGOM)Congo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(-1.6683325, 29.2386163)","Goma Airport (GOM), Goma, Democratic Republic of the Congo"
Blair Athol,United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
Southampton-Eastleigh AirportSOU),United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
Komo AirportKOM),Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,,
Madras AirportMAA),India,"(20.593684, 78.96288)",India,,
near Prato,Italy,"(41.87194, 12.56738)",Italy,,
Lyakhsh,Tajikistan,"(38.861034, 71.276093)",Tajikistan,,
"8 km5 mls) NE of Saranac Lake-Adirondack Airport, NYSLK)",United States of America,"(37.09024, -95.712891)",United States,,
near El Rosal,Colombia,"(4.570868, -74.297333)",Colombia,,
M'Banza Congo AirportSSY),Angola,"(-11.202692, 17.873887)",Angola,"(-6.268748, 14.2464981)","Mbanza Congo Airport (SSY), M'banza-Kongo, Angola"
"near Jacareacanga, PA",Brazil,"(-14.235004, -51.92528)",Brazil,,
Nagoya-Komaki International AirportNGO),Japan,"(36.204824, 138.252924)",Japan,,
48 km30 mls) from  Nangapinoh,Indonesia,"(-0.789275, 113.921327)",Indonesia,,
San'a International AirportSAH),Yemen,"(15.552727, 48.516388)",Yemen,"(15.479167, 44.219722)","El Rahaba Airport (SAH), Airport Road, Sana'a, Yemen"
"0,1 km0.1 mls) S off  Sydney-Kingsford Smith International Airport, NSWSYD)",Australia,"(-25.274398, 133.775136)",Australia,,
near Lokichoggio AirportLKG),Kenya,"(-0.023559, 37.906193)",Kenya,,
Malange AirportMEG),Angola,"(-11.202692, 17.873887)",Angola,,
"Memphis International Airport, TNMEM)",United States of America,"(37.09024, -95.712891)",United States,,
15 km9.4 mls) NE of Hiroshima West AirportHIW),Japan,"(36.204824, 138.252924)",Japan,,
Luxor AirportLXR),Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(25.6738827, 32.7014938)","Luxor International Airport (LXR), Monshaat Al Amari, Luxor, Luxor Governorate, Egypt"
2 km1.3 mls) E of Kigali AirportKGL),Rwanda,"(-1.940278, 29.873888)",Rwanda,,
Mt. Lozan,Ecuador,"(-1.831239, -78.18340599999999)",Ecuador,,
Amsterdam-Schiphol AirportAMS),Netherlands,"(52.132633, 5.291265999999999)",Netherlands,,
Sevilla AirportSVQ),Spain,"(40.46366700000001, -3.74922)",Spain,"(37.4201674, -5.89305)","Seville Airport (SVQ), A-4, Km. 532, 41020 Sevilla, Spain"
 City-Benito Juárez International AirportMEX),Mexico,"(23.634501, -102.552784)",Mexico,,
"Ciudad Alemán Airport, Veracruz",Mexico,"(23.634501, -102.552784)",Mexico,,
"Fayetteville-Pope AFB, NCPOB)",United States of America,"(37.09024, -95.712891)",United States,,
40 km25 mls) NW of Bogotá,Colombia,"(4.570868, -74.297333)",Colombia,,
near Mezhduretshensk,Russia,"(61.52401, 105.318756)",Russia,,
"Weipa Airport, QLDWEI)",Australia,"(-25.274398, 133.775136)",Australia,,
Roma-Fiumicino AirportFCO),Italy,"(41.87194, 12.56738)",Italy,"(41.7998868, 12.2462384)","Leonardo da Vinci International Airport (FCO), Via dell' Aeroporto di Fiumicino, 320, 00054 Fiumicino RM, Italy"
Vigo AirportVGO),Spain,"(40.46366700000001, -3.74922)",Spain,,
"Bassett, NE",United States of America,"(37.09024, -95.712891)",United States,,
"Bassett-Rock, NE",United States of America,"(37.09024, -95.712891)",United States,,
"Wagete, Irian Jaya",Indonesia,"(-0.789275, 113.921327)",Indonesia,,
Tripoli International AirportTIP),Libya,"(26.3351, 17.228331)",Libya,,
near La Macarena,Colombia,"(4.570868, -74.297333)",Colombia,,
"Key West Harbor, FL",United States of America,"(37.09024, -95.712891)",United States,,
"1 km0.6 mls) SW of Spokane International Airport, WAGEG)",United States of America,"(37.09024, -95.712891)",United States,,
"Detroit-Metropolitan Wayne County Airport, MIDTW)",United States of America,"(37.09024, -95.712891)",United States,"(42.2161722, -83.3553842)","Detroit Metropolitan Wayne County Airport (DTW), Detroit, MI 48242, USA"
3 km1.9 mls) N of Stepanakert,Armenia,"(40.069099, 45.038189)",Armenia,,
40 km25 mls) SE of Medellín,Colombia,"(4.570868, -74.297333)",Colombia,,
"Edmonton/Villeneuve Airport, AB",Canada,"(56.130366, -106.346771)",Canada,,
Atalaya,Peru,"(-9.189967, -75.015152)",Peru,,
Atalaya,Peru,"(-9.189967, -75.015152)",Peru,,
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",,
Suva-Nausori AirportSUV),Fiji,"(-17.713371, 178.065032)",Fiji,,
Beef Island AirportEIS),British Virgin Islands,"(18.420695, -64.639968)",British Virgin Islands,,
Cayenne-Rochambeau AirportCAY),French Guiana,"(3.933889, -53.125782)",French Guiana,,
"Muskegon Airport, MIMKG)",United States of America,"(37.09024, -95.712891)",United States,"(43.1645753, -86.23798719999999)","Muskegon County Airport, 99 Sinclair Dr, Muskegon, MI 49441, USA"
"Pine Bluff, AR",United States of America,"(37.09024, -95.712891)",United States,,
off Libreville AirportLBV),Gabon,"(-0.803689, 11.609444)",Gabon,"(0.456963, 9.409852)","Libreville International Airport (LBV), Libreville, Gabon"
16 km10 mls) from  Cabinda,Angola,"(-11.202692, 17.873887)",Angola,,
"6 km3.8 mls) NE of Shelton, NE",United States of America,"(37.09024, -95.712891)",United States,,
Bogotá-Eldorado AirportBOG),Colombia,"(4.570868, -74.297333)",Colombia,"(4.6983396, -74.1419602)","El Dorado Luis Carlos Galan Sarmiento Int'l Airport (BOG), Calle 26 #103-9, Fontibon, Bogotá, Colombia"
Unknown,Kenya,"(-0.023559, 37.906193)",Kenya,,
off Malindi,Kenya,"(-0.023559, 37.906193)",Kenya,,
Pointe Noire AirportPNR),Congo,"(-4.038333, 21.758664)",Democratic Republic of the Congo,"(-4.809799, 11.882377)","Pointe Noire Airport (PNR), Ponton, Republic of the Congo"
"15 km9.4 mls) NE of Tamworth Airport, NSWTMW)",Australia,"(-25.274398, 133.775136)",Australia,,
Delhi-Indira Gandhi International AirportDEL),India,"(20.593684, 78.96288)",India,"(28.5561624, 77.0999578)","Indira Gandhi International Airport (DEL), Indira Gandhi International Airport, New Delhi, Delhi 110037, India"
Nairobi-Jomo tta International AirportNBO),Kenya,"(-0.023559, 37.906193)",Kenya,,
Delhi-Indira Gandhi International AirportDEL),India,"(20.593684, 78.96288)",India,"(28.5561624, 77.0999578)","Indira Gandhi International Airport (DEL), Indira Gandhi International Airport, New Delhi, Delhi 110037, India"
Tumbes AirportTBP),Peru,"(-9.189967, -75.015152)",Peru,,
"New York-La Guardia Airport, NYLGA)",United States of America,"(37.09024, -95.712891)",United States,"(40.7769271, -73.8739659)","LaGuardia Airport (LGA), Queens, NY 11371, USA"
Tokyo-Narita AirportNRT),Japan,"(36.204824, 138.252924)",Japan,"(35.7719867, 140.3928501)","Narita International Airport (NRT), 1-1 Furugome, Narita, Chiba Prefecture 282-0004, Japan"
Villavicencio-La Vanguardia AirportVVC),Colombia,"(4.570868, -74.297333)",Colombia,,
Alicante AirportALC),Spain,"(40.46366700000001, -3.74922)",Spain,"(38.285483, -0.560056)","Alicante Airport (ALC), 03195 L'Altet, Alicante, Spain"
"Fairbanks International Airport, AKFAI)",United States of America,"(37.09024, -95.712891)",United States,,
"near San José del Llano, Sinaola",Mexico,"(23.634501, -102.552784)",Mexico,,
ca 50 km S of Tingo Maria,Peru,"(-9.189967, -75.015152)",Peru,,
"7,5 km4.7 mls) SW of Uttoxeter",United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
"Cleveland-Cuyahoga County Airport, OHCGF)",United States of America,"(37.09024, -95.712891)",United States,,
"4,5 km2.8 mls) from  Nalchik AirportNAL)",Russia,"(61.52401, 105.318756)",Russia,,
Budapest-Ferihegy AirportBUD),Hungary,"(47.162494, 19.503304)",Hungary,,
unknown airport,Taiwan,"(23.69781, 120.960515)",Taiwan,,
"Denver-Stapleton International Airport, CODEN)",United States of America,"(37.09024, -95.712891)",United States,,
Tashqurghan,Afghanistan,"(33.93911, 67.709953)",Afghanistan,,
"Denver-Stapleton International Airport, CODEN)",United States of America,"(37.09024, -95.712891)",United States,,
near Luena,Angola,"(-11.202692, 17.873887)",Angola,"(-11.7714258, 19.8901427)","Luena, Angola"
3 km1.9 mls) NE of Aurangabad AirportIXU),India,"(20.593684, 78.96288)",India,,
Amritsar-Raja Sansi AirportATQ),India,"(20.593684, 78.96288)",India,,
Montpellier-Frejorgues AirportMPL),France,"(46.227638, 2.213749)",France,,
within Zavkhan Province,Mongolia,"(46.862496, 103.846656)",Mongolia,,
Florencia AirportFLA),Colombia,"(4.570868, -74.297333)",Colombia,,
"near Zephyrhills Airport, FLZPH)",United States of America,"(37.09024, -95.712891)",United States,,
"Merced Municipal Airport, CAMCE)",United States of America,"(37.09024, -95.712891)",United States,,
"Merced Municipal Airport, CAMCE)",United States of America,"(37.09024, -95.712891)",United States,,
Morioka-Hanamaki AirportHNA),Japan,"(36.204824, 138.252924)",Japan,,
"Mackay Airport, QLDMKY)",Australia,"(-25.274398, 133.775136)",Australia,,
"Dallas/Fort Worth International Airport, TXDFW)",United States of America,"(37.09024, -95.712891)",United States,"(32.8998091, -97.0403352)","DFW International Airport (DFW), 2400 Aviation Dr N, DFW Airport, TX 75261, USA"
"Detroit-Willow Run Airport, MIYIP)",United States of America,"(37.09024, -95.712891)",United States,,
Lucknow-Amausi AirportLKO),India,"(20.593684, 78.96288)",India,,
Viranschir,Turkey,"(38.963745, 35.243322)",Turkey,,
near Lublin,Poland,"(51.919438, 19.145136)",Poland,,
Great Barrier Island AirportGBZ),New Zealand,"(-40.900557, 174.885971)",New Zealand,,
Anadyr AirportDYR),Russia,"(61.52401, 105.318756)",Russia,"(64.7134717, 177.7381361)","Anadyr AIRPORT, Ugolnye Kopi, Chukotskiy, Russia, 689501"
Cark Airport,United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
Omsukchan Airport,Russia,"(61.52401, 105.318756)",Russia,,
"New Roads-False River Regional Airport, LAHZR)",United States of America,"(37.09024, -95.712891)",United States,,
Puerto Inirida AirportPDA),Colombia,"(4.570868, -74.297333)",Colombia,,
Hangzhou AirportHGH),China,"(35.86166, 104.195397)",China,,
Amsterdam-Schiphol AirportAMS),Netherlands,"(52.132633, 5.291265999999999)",Netherlands,,
"4,6 km2.9 mls) ESE of Meadow Lake Airport, SKYLJ)",Canada,"(56.130366, -106.346771)",Canada,,
"Santa Elena Airstrip, ER",Argentina,"(-38.416097, -63.61667199999999)",Argentina,,
Roma-Ciampino AirportCIA),Italy,"(41.87194, 12.56738)",Italy,,
Kinshasa-N'Djili AirportFIH)Congo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(-4.386449199999999, 15.4453718)","N'Djili Airport (FIH), Kinshasa, Democratic Republic of the Congo"
"Anderson Municipal Airport, INAID)",United States of America,"(37.09024, -95.712891)",United States,"(40.1096425, -85.6141715)","Anderson Municipal Airport, 282 Airport Rd, Anderson, IN 46017, USA"
Paris-Charles de Gaulle AirportCDG),France,"(46.227638, 2.213749)",France,"(49.0096906, 2.5479245)","Charles de Gaulle Airport (CDG), 95700 Roissy-en-France, France"
17 km10.6 mls) SW of Tver-Migalovo AirportKLD),Russia,"(61.52401, 105.318756)",Russia,,
KinshasaCongo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(-4.4419311, 15.2662931)","Kinshasa, Democratic Republic of the Congo"
150 km93.8 mls) N off  Christmas Island,Pacific Ocean,"(-8.783195, -124.508523)",Pacific Ocean,,
Bacau AirportBCM),Romania,"(45.943161, 24.96676)",Romania,,
"1,9 km1.2 mls) E of Columbus-Port Columbus International Airport, OHCMH)",United States of America,"(37.09024, -95.712891)",United States,,
Bangalore-Hindustan AirportBLR),Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(13.1986348, 77.7065928)","Kempegowda International Airport (BLR), KIAL Rd, Devanahalli, Bengaluru, Karnataka 560300, India"
Kuala Kapuas,Indonesia,"(-0.789275, 113.921327)",Indonesia,,
near Mamony,Russia,"(61.52401, 105.318756)",Russia,,
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",,
Stepanavan,Armenia,"(40.069099, 45.038189)",Armenia,,
"1760 km1100 mls) S of Shemya, AK",United States of America,"(37.09024, -95.712891)",United States,,
 City-La Aurora AirportGUA),Guatemala,"(15.783471, -90.23075899999999)",Guatemala,"(14.5837486, -90.5278015)","La Aurora Airport (GUA), 9 Av 14-75, Zona 13, Guatemala 01013, Guatemala"
Taipei,Taiwan,"(23.69781, 120.960515)",Taiwan,,
16 km10 mls) N off  Isla de la Margarita,Venezuela,"(6.42375, -66.58973)",Venezuela,,
"Anchorage International Airport, AKANC)",United States of America,"(37.09024, -95.712891)",United States,,
Amritsar-Raja Sansi AirportATQ),India,"(20.593684, 78.96288)",India,,
Muang Khon Kaen,Thailand,"(15.870032, 100.992541)",Thailand,,
"Miami International Airport, FLMIA)",United States of America,"(37.09024, -95.712891)",United States,"(25.795865, -80.2870457)","Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA"
"Miami International Airport, FLMIA)",United States of America,"(37.09024, -95.712891)",United States,"(25.795865, -80.2870457)","Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA"
near Hareto,Ethiopia,"(9.145000000000001, 40.489673)",Ethiopia,,
6 km3.8 mls) NE of Geilo-Dagali AirportDLD),Norway,"(60.47202399999999, 8.468945999999999)",Norway,,
near Elorza AirportEOZ),Venezuela,"(6.42375, -66.58973)",Venezuela,,
Evreux Air BaseEVX),France,"(46.227638, 2.213749)",France,,
