SubLocation,Country,latlon,place,sub_latlon,sub_place
Southend Municipal AirportSEN),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.5698197, 0.7037369)","London Southend Airport (SEN), Rochford, Southend-on-Sea SS2 6YF, UK"
Yonago-Miho AirportYGJ),Japan,"(36.204824, 138.252924)",Japan,"(35.5006273, 133.2451172)","Miho Yonago Airport (YGJ), 1634番地 Sainokamicho, Sakaiminato, Tottori Prefecture 684-0055, Japan"
Yonago-Miho AirportYGJ),Japan,"(36.204824, 138.252924)",Japan,"(35.5006273, 133.2451172)","Miho Yonago Airport (YGJ), 1634番地 Sainokamicho, Sakaiminato, Tottori Prefecture 684-0055, Japan"
"16 km10 mls) SW of Monroe Municipal Airport, LAMLU)",United States of America,"(37.09024, -95.712891)",United States,,
Luanda AirportLAD),Angola,"(-11.202692, 17.873887)",Angola,"(-8.847951, 13.234862)","4 de Fevereiro International Airport (LAD), Luanda, Angola"
Tehran-Mehrabad AirportTHR),Iran,"(32.427908, 53.688046)",Iran,"(35.68998819999999, 51.311241)","Mehrabad International Airport (THR), Tehran, Iran"
Monterrey,Mexico,"(23.634501, -102.552784)",Mexico,"(25.6866142, -100.3161126)","Monterrey, Nuevo Leon, Mexico"
near Seferihisar,Turkey,"(38.963745, 35.243322)",Turkey,"(38.19515, 26.834402)","Seferihisar, Düzce Mahallesi, 35460 Seferihisar/İzmir, Turkey"
Lima,Peru,"(-9.189967, -75.015152)",Peru,"(-12.0463731, -77.042754)","Lima, Peru"
Cazambo,Angola,"(-11.202692, 17.873887)",Angola,,
Cazambo,Angola,"(-11.202692, 17.873887)",Angola,,
Jalalabad AirportJAA),Afghanistan,"(33.93911, 67.709953)",Afghanistan,"(34.400833, 70.49722299999999)","Jalalabad Airport (JAA), AH1, Jalalabad, Afghanistan"
Genève-Cointrin AirportGVA),Switzerland,"(46.818188, 8.227511999999999)",Switzerland,"(46.23700969999999, 6.1091564)","Genève Aéroport (GVA), Route de l'Aéroport 21, 1215 Le Grand-Saconnex, Switzerland"
Isla Verde,Puerto Rico,"(18.220833, -66.590149)",Puerto Rico,"(18.4255022, -66.0096099)","Parque Isla Verde, Carolina, 00987, Puerto Rico"
"1,5 km0.9 mls) NE of La Grande-LG-4 airstrip, QC",Canada,"(56.130366, -106.346771)",Canada,,
"Poughkeepsie, NY",United States of America,"(37.09024, -95.712891)",United States,"(41.7003713, -73.9209701)","Poughkeepsie, NY, USA"
near Tegucigalpa-Toncontin AirportTGU),Honduras,"(15.199999, -86.241905)",Honduras,"(14.060701, -87.2178198)","Toncontín International Airport (TGU), restaurante boca del mar, Tegucigalpa, Honduras"
near Hawaii,Pacific Ocean,"(-8.783195, -124.508523)",Pacific Ocean,"(19.5429151, -155.6658568)","Hawaii County, HI, USA"
12 km7.5 mls) from  Kuala Lumpur Subang International AirportKUL),Malaysia,"(4.210484, 101.975766)",Malaysia,,
"5 km3.1 mls) N of Hurlburt Field, FL",United States of America,"(37.09024, -95.712891)",United States,,
"5 km3.1 mls) N of Hurlburt Field, FL",United States of America,"(37.09024, -95.712891)",United States,,
"Rio de Janeiro-Santos Dumont Airport, RJSDU)",Brazil,"(-14.235004, -51.92528)",Brazil,"(-22.9111438, -43.1648755)","Santos Dumont Airport (SDU) - Praça Sen. Salgado Filho, s/n - Centro, Rio de Janeiro - RJ, 20021-340, Brazil"
over Washington State,United States of America,"(37.09024, -95.712891)",United States,"(47.606165, -122.341895)","1301 Alaskan Way, Seattle, WA 98101, USA"
Morobe AirportOBM),Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,,
"Pelly Crossing, YT",Canada,"(56.130366, -106.346771)",Canada,"(62.81797899999999, -136.568795)","Pelly Crossing, YT, Canada"
 AirportJIB),Djibouti,"(11.825138, 42.590275)",Djibouti,"(35.4750841, -93.4348404)","Job Airport Rd, Clarksville, AR 72830, USA"
"near Capon Bridge, WV",United States of America,"(37.09024, -95.712891)",United States,"(39.2981565, -78.4361189)","Capon Bridge, WV 26711, USA"
Abarqu,Iran,"(32.427908, 53.688046)",Iran,"(31.1304036, 53.2503736)","Abarkooh, Yazd Province, Iran"
"2,2 km1.4 mls) W of Rodenbach",Germany,"(51.165691, 10.451526)",Germany,,
Manila-Ninoy Aquino International AirportMNL),Philippines,"(12.879721, 121.774017)",Philippines,"(14.5122739, 121.016508)","Ninoy Aquino International Airport (MNL), Andrews Ave, Pasay, 1300 Metro Manila, Philippines"
"4,5 km2.8 mls) from  Tuxtla Gutiérrez AirportTGZ)",Mexico,"(23.634501, -102.552784)",Mexico,,
"4,5 km2.8 mls) from  Tuxtla Gutiérrez AirportTGZ)",Mexico,"(23.634501, -102.552784)",Mexico,,
Delhi-Indira Gandhi International AirportDEL),India,"(20.593684, 78.96288)",India,"(28.5561624, 77.0999578)","Indira Gandhi International Airport (DEL), Indira Gandhi International Airport, New Delhi, Delhi 110037, India"
near Spafaryev Island,Russia,"(61.52401, 105.318756)",Russia,"(59.1680556, 149.0441667)","Spafaryev Islands, Magadan Oblast, Russia, 685940"
near  City-La Aurora AirportGUA),Guatemala,"(15.783471, -90.23075899999999)",Guatemala,"(14.5837486, -90.5278015)","La Aurora Airport (GUA), 9 Av 14-75, Zona 13, Guatemala 01013, Guatemala"
"Wilmington-New Hanover County Airport, NCILM)",United States of America,"(37.09024, -95.712891)",United States,,
"Wilmington-New Hanover County Airport, NCILM)",United States of America,"(37.09024, -95.712891)",United States,,
1 km0.6 mls) S of Manila International AirportMNL),Philippines,"(12.879721, 121.774017)",Philippines,,
Montería-Los Garzones AirportMTR),Colombia,"(4.570868, -74.297333)",Colombia,"(8.8237718, -75.8251507)","Los Garzones Airport (MTR), Via Aeropuerto, Montería, Córdoba, Colombia"
Kaliningrad-Khrabrovo AirportKGD),Russia,"(61.52401, 105.318756)",Russia,"(54.8829858, 20.5866272)","Khrabrovo Airport, пос. Храброво, Kaliningrad, Гурьевский р-он, Калининградская область, Russia, 238315"
"3,2 km2 mls) S of Tarbert",United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
-Changi AirportSIN),Singapore,"(1.352083, 103.819836)",Singapore,"(1.308248, 103.8858939)","Old Airport Road Block 51 Market & Hawker Centre #02-149k, 51 Old Airport Road (S)390051, Singapore 390051"
near Macas,Ecuador,"(-1.831239, -78.18340599999999)",Ecuador,"(-2.3062241, -78.1153707)","Macas, Ecuador"
Yelahanka Air Station,India,"(20.593684, 78.96288)",India,"(13.1359046, 77.60497579999999)","Yelahanka, Bengaluru, Karnataka 560064, India"
Khartoum-Civil AirportKRT),Sudan,"(12.862807, 30.217636)",Sudan,"(15.5927666, 32.5522355)","Khartoum International Airport (KRT), Khartoum, Sudan"
Asmara International AirportASM),Eritrea,"(15.179384, 39.782334)",Eritrea,"(15.285, 38.901667)","Asmara,Eritrea International Airport (ASM), Hday St, Asmara, Ethiopia"
Dinard-Pleurtuit AirportDNR),France,"(46.227638, 2.213749)",France,"(48.587893, -2.0792864)","Aéroport Dinard Bretagne, 35730 Pleurtuit, France"
Dinard-Pleurtuit AirportDNR),France,"(46.227638, 2.213749)",France,"(48.587893, -2.0792864)","Aéroport Dinard Bretagne, 35730 Pleurtuit, France"
Navoi AirportNVI),Uzbekistan,"(41.377491, 64.585262)",Uzbekistan,"(40.1190074, 65.169958)","Navoi International Airport (NVI), Navoi, Uzbekistan"
"NW off San Diego, CA",United States of America,"(37.09024, -95.712891)",United States,"(32.715738, -117.1610838)","San Diego, CA, USA"
"NW off San Diego, CA",United States of America,"(37.09024, -95.712891)",United States,"(32.715738, -117.1610838)","San Diego, CA, USA"
near Rash Mishab,Saudi Arabia,"(23.885942, 45.079162)",Saudi Arabia,"(28.0706964, 48.6163371)","Ras Al-Mishab Airport 39222, Saudi Arabia"
at an unknown location,Mexico,"(23.634501, -102.552784)",Mexico,,
Bucharest-Otopeni International AirportOTP),Romania,"(45.943161, 24.96676)",Romania,"(44.5707306, 26.0844123)","Henri Coandă International Airport (OTP), Calea Bucureştilor 224E, Otopeni 075150, Romania"
Lichinga AirportVXC),Mozambique,"(-18.665695, 35.529562)",Mozambique,"(-13.274426, 35.264601)","Lichinga Airport (VXC), Lichinga, Mozambique"
Pico Alto,Portugal,"(39.39987199999999, -8.224454)",Portugal,"(28.09204, -80.56668599999999)","2 Wave Crest Ave, Indialantic, FL 32903, USA"
Marseille-Marignane AirportMRS),France,"(46.227638, 2.213749)",France,"(43.4384235, 5.214414)","Marseille Provence Airport (MRS), 13727 Marignane, France"
near Yangon-Mingaladon AirportRGN),Myanmar,"(21.916221, 95.955974)",Myanmar (Burma),"(16.8985506, 96.13246819999999)","Yangon International Airport, Yangon Airport Rd, Yangon, Myanmar (Burma)"
near Bannu,Pakistan,"(30.375321, 69.34511599999999)",Pakistan,"(32.9297732, 70.6692655)","Bannu District, Pakistan"
San José-Juan Santamaria International AirportSJO),Costa Rica,"(9.748916999999999, -83.753428)",Costa Rica,"(9.9952711, -84.2083169)","Juan Santamaria International Airport, Provincia de Alajuela, San José, Costa Rica"
"Abilene-Dyess AFB, TXDYS)",United States of America,"(37.09024, -95.712891)",United States,"(32.422775, -99.82204990000001)","Dyess Air Force Base Library, 7216 Military Dr, Abilene, TX 79605, USA"
Lisboa-Portela de Sacavém AirportLIS),Portugal,"(39.39987199999999, -8.224454)",Portugal,"(38.7755936, -9.135366699999999)","Lisbon Portela Airport (LIS), Alameda das Comunidades Portuguesas, 1700-111 Lisboa, Portugal"
"Fairbanks-Fort Wainwright Airport, AKFBK)",United States of America,"(37.09024, -95.712891)",United States,,
Quiliano,Italy,"(41.87194, 12.56738)",Italy,"(44.2996045, 8.374571699999999)","17047 Quiliano, Province of Savona, Italy"
Mirny Ice Station,Antarctica,"(-82.86275189999999, 135.0)",Antarctica,"(-66.5530884, 93.0095441)","Indischer Ozean, Antarctica"
Kandahar AirportKDH),Afghanistan,"(33.93911, 67.709953)",Afghanistan,"(31.506944, 65.8475)","Kandahar International Airport (KDH) د کندهار بین المللی هوایی میدان (KDH), Airport Road, Afghanistan"
Ivano-Frankovsk AirportIFO),Ukraine,"(48.379433, 31.16558)",Ukraine,"(48.8886922, 24.7027077)","Ivano-Frankivsk International Airport (IFO), вулиця Євгена Коновальця, 264А, Ivano-Frankivs'k, Ivano-Frankivs'ka oblast, Ukraine, 76000"
Örnsköldsvik AirportOER),Sweden,"(60.12816100000001, 18.643501)",Sweden,"(63.40777800000001, 18.9925)","Örnsköldsvik Airport (OER), Västanå 100, 896 91 Husum, Sweden"
"Chicago-O'Hare International Airport, ILORD)",United States of America,"(37.09024, -95.712891)",United States,,
"Buena Vista, CO",United States of America,"(37.09024, -95.712891)",United States,"(38.8422178, -106.1311288)","Buena Vista, CO 81211, USA"
Odessa-Central AirportODS),Ukraine,"(48.379433, 31.16558)",Ukraine,"(46.4298271, 30.6774409)","Odessa International Airport, Odesa, Odessa Oblast, Ukraine, 65000"
between La Paz and Apolo,Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,"(-16.5337745, -68.03742079999999)","La Paz, Bolivia"
"near Ketchikan, AK",United States of America,"(37.09024, -95.712891)",United States,"(55.34222219999999, -131.6461111)","Ketchikan, AK 99901, USA"
Monrovia-Roberts International AirportROB),Liberia,"(6.428055, -9.429499000000002)",Liberia,"(6.239722, -10.358889)","Roberts International Airport (ROB), Harbel, Liberia"
"7,8 km4.9 mls) S of Caracas/La Carlota-Gen. Francisco de Miranda Air Base",Venezuela,"(6.42375, -66.58973)",Venezuela,,
"ca 2 km N of Dayton-James Cox Dayton International Airport, OHDAY)",United States of America,"(37.09024, -95.712891)",United States,,
"Rockingham County/Shiloh Airport, NC",United States of America,"(37.09024, -95.712891)",United States,"(36.4373276, -79.852111)","Rockingham County NC Shiloh Airport (SIF), 2691 Settle Bridge Rd, Stoneville, NC 27048, USA"
near Kegworth,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(52.8360143, -1.2787993)","Kegworth, Derby DE74, UK"
"Laredo International Airport, TXLRD)",United States of America,"(37.09024, -95.712891)",United States,,
"Laredo International Airport, TXLRD)",United States of America,"(37.09024, -95.712891)",United States,,
Banjarmasin-Sjamsudin Noor AirportBDJ),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-3.4380056, 114.7541801)","SAMSUDIN NOOR AIRPORT, Jalan Angkasa, Landasan Ulin Utara, Landasan Ulin, Liang Anggang, Landasan Ulin Utara, Liang Anggang, Banjarmasin, kelurahan 70724, Indonesia"
"Chico Airport, CACIC)",United States of America,"(37.09024, -95.712891)",United States,,
"11 km6.9 mls) ENE of Moosonee Airport, ONYMO)",Canada,"(56.130366, -106.346771)",Canada,,
near Manila International AirportMNL),Philippines,"(12.879721, 121.774017)",Philippines,"(14.5122739, 121.016508)","Ninoy Aquino International Airport (MNL), Andrews Ave, Pasay, 1300 Metro Manila, Philippines"
near Bam,Iran,"(32.427908, 53.688046)",Iran,"(40.6866793, -73.9775208)","30 Lafayette Ave, Brooklyn, NY 11217, USA"
"Lord Howe Island Airport, NSWLDH)",Australia,"(-25.274398, 133.775136)",Australia,"(-31.540808, 159.07816)","Lord Howe Island Airport (LDH), Lord Howe Island NSW 2898, Australia"
Sverdlovsk AirportSVX),Russia,"(61.52401, 105.318756)",Russia,"(56.7447746, 60.8029485)","Koltsovo Airport (SVX), ulitsa Bahchivandji, 1, Yekaterinburg, Sverdlovskaya oblast', Russia"
Sverdlovsk AirportSVX),Russia,"(61.52401, 105.318756)",Russia,"(56.7447746, 60.8029485)","Koltsovo Airport (SVX), ulitsa Bahchivandji, 1, Yekaterinburg, Sverdlovskaya oblast', Russia"
Sverdlovsk AirportSVX),Russia,"(61.52401, 105.318756)",Russia,"(56.7447746, 60.8029485)","Koltsovo Airport (SVX), ulitsa Bahchivandji, 1, Yekaterinburg, Sverdlovskaya oblast', Russia"
Khost,Afghanistan,"(33.93911, 67.709953)",Afghanistan,"(33.3338472, 69.9371673)","Khost, Afghanistan"
"1,5 km0.9 mls) off  Contadora AirportOTD)",Panama,"(8.537981, -80.782127)",Panama,,
Leningrad-Pulkovo AirportLED),Russia,"(61.52401, 105.318756)",Russia,"(59.79750310000001, 30.2686205)","Pulkovo Airport, Pulkovo Airport (LED), Sankt-Peterburg, Russia, 196210"
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",,
Uelen,Russia,"(61.52401, 105.318756)",Russia,"(66.1611863, -169.8223184)","Uelen, Chukotka Autonomous Okrug, Russia, 689310"
Camiare Airstrip,Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,,
"4 km2.5 mls) from  Gadsden Municipal Airport, ALGAD)",United States of America,"(37.09024, -95.712891)",United States,,
"1,8 km1.1 mls) W off  Værøy-Stolport AirportVRY)",Norway,"(60.47202399999999, 8.468945999999999)",Norway,,
"Juiz De Fora-Francisco De Assis Airport, MGJDF)",Brazil,"(-14.235004, -51.92528)",Brazil,,
off Levittown,Puerto Rico,"(18.220833, -66.590149)",Puerto Rico,"(40.7239913, -73.5364523)","Hempstead Turnpike, Levittown, NY 11756, USA"
"near Leongatha, VIC",Australia,"(-25.274398, 133.775136)",Australia,"(-38.4740327, 145.9436663)","Leongatha VIC 3953, Australia"
Balikpapan-Sepingan AirportBPN),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-1.2658151, 116.8977258)","Sultan Aji Muhammad Sulaiman Sepinggan International Airport (BPN), Jl. Marsma R. Iswahyudi, Sepinggan, Balikpapan Sel., Kota Balikpapan, Kalimantan Timur 76115, Indonesia"
off Utila AirportUII),Honduras,"(15.199999, -86.241905)",Honduras,"(16.1113658, -86.88250819999999)","Utila Airport (UII), Lozano Rd, Honduras"
near Labuan Bajo-Mutiara AirportLBJ),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-8.492380899999999, 119.8901799)","Labuhan Bajo Airport, Batu Cermin, Komodo, West Manggarai Regency, East Nusa Tenggara, Indonesia"
Port-au-Prince AirportPAP),Haiti,"(18.971187, -72.285215)",Haiti,"(18.5746335, -72.2946977)","Port-au-Prince International Airport (PAP), Aero International de Port, Pòtoprens, Haiti"
near Sverdlovsk,Russia,"(61.52401, 105.318756)",Russia,"(56.83892609999999, 60.6057025)","Yekaterinburg, Sverdlovsk Oblast, Russia"
"8 km5 mls) from  Brasília International Airport, DFBSB)",Brazil,"(-14.235004, -51.92528)",Brazil,,
"15 km9.4 mls) NE of San Diego-Brown Field Municipal Airport, CASDM)",United States of America,"(37.09024, -95.712891)",United States,,
32 km20 mls) from  Malanje,Angola,"(-11.202692, 17.873887)",Angola,,
"Uberlândia-Eduardo Gomes Airport, MGUDI)",Brazil,"(-14.235004, -51.92528)",Brazil,,
"New York-John F. Kennedy International Airport, NYJFK)",United States of America,"(37.09024, -95.712891)",United States,"(40.6413111, -73.77813909999999)","John F. Kennedy International Airport (JFK), Queens, NY 11430, USA"
"Carlsbad-McClellan-Palomar Airport, CACLD)",United States of America,"(37.09024, -95.712891)",United States,"(33.1278996, -117.2791873)","McClellan-Palomar Airport, 2198 Palomar Airport Rd, Carlsbad, CA 92011, USA"
Blenheim-Woodbourne AirportBHE),New Zealand,"(-40.900557, 174.885971)",New Zealand,"(-41.51358800000001, 173.86765)","Marlborough Airport (BHE) Tancred Cres, Blenheim, Woodbourne 7206, New Zealand"
Lagos-Murtala Muhammed International AirportLOS),Nigeria,"(9.081999, 8.675277)",Nigeria,"(6.5818185, 3.3211348)","Murtala Muhammed International Airport (LOS), 23401, Lagos, Nigeria"
"6,5 km4.1 mls) from  Uvalde-Garner Field, TXUVA)",United States of America,"(37.09024, -95.712891)",United States,,
near Kabul-Khwaja Rawash AirportKBL),Afghanistan,"(33.93911, 67.709953)",Afghanistan,"(34.565833, 69.21249999999999)","Hamid Karzai International Airport, 1,Great Massoud Avenue,Khwaja Rawash,Kabul, Afghanistan"
30 km18.8 mls) from  Kuito,Angola,"(-11.202692, 17.873887)",Angola,,
Santiago de -Antonio Maceo AirportSCU),Cuba,"(21.521757, -77.781167)",Cuba,"(19.97, -75.835556)","Antonio Maceo Airport (SCU), Avenida al Aeropuerto Internacional Antonio Maceo Grajales, Santiago de Cuba, Cuba"
Moscow,Russia,"(61.52401, 105.318756)",Russia,"(55.755826, 37.6173)","Moscow, Russia"
Moscow,Russia,"(61.52401, 105.318756)",Russia,"(55.755826, 37.6173)","Moscow, Russia"
Roatan AirportRTB),Honduras,"(15.199999, -86.241905)",Honduras,"(16.3179656, -86.5268689)","Juan Manuel Galvez International Airport (RTB), Roatán, Honduras"
Roatan AirportRTB),Honduras,"(15.199999, -86.241905)",Honduras,"(16.3179656, -86.5268689)","Juan Manuel Galvez International Airport (RTB), Roatán, Honduras"
"Vershino-Darasunskiy, Chita Region",Russia,"(61.52401, 105.318756)",Russia,,
Jászjákóhalma,Hungary,"(47.162494, 19.503304)",Hungary,"(47.5191853, 19.9931674)","Jászjákóhalma, Hungary"
Jászjákóhalma,Hungary,"(47.162494, 19.503304)",Hungary,"(47.5191853, 19.9931674)","Jászjákóhalma, Hungary"
Kaabong,Uganda,"(1.373333, 32.290275)",Uganda,"(3.5126215, 33.9750018)","Kaabong District, Uganda"
Aroa AirportAOA),Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,,
Goma AirportGOM)Congo,Democratic Republic),"(38.9040501, -77.04050860000001)","1100 Connecticut Ave NW #725, Washington, DC 20036, USA","(-1.6683325, 29.2386163)","Goma Airport (GOM), Goma, Democratic Republic of the Congo"
near Caracas-La Carlota Airport,Venezuela,"(6.42375, -66.58973)",Venezuela,"(10.4880756, -66.8455195)","Aeropuerto Francisco de Miranda, Caracas, Distrito Capital, Venezuela"
"4,8 km3 mls) from  Denver International Airport, CODEN)",United States of America,"(37.09024, -95.712891)",United States,,
Taiyuan AirportTYN),China,"(35.86166, 104.195397)",China,,
near Bergisch Gladbach,Germany,"(51.165691, 10.451526)",Germany,"(50.9923091, 7.1286213)","Bergisch Gladbach, Germany"
